eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,276,1.5028922e-06,0.0,8.317764,0.02407907,3.2613124e-07,nan,1,128,3.7008956763893366,1024
nan,nan,310,5.1591877e-07,0.0,8.317757,-0.0005386887,1.594204e-08,nan,2,256,6.99954873137176,2048
nan,nan,274,1.9739652e-07,0.0,8.317751,-0.0005832637,2.2452165e-09,nan,3,384,10.733936930075288,3072
nan,nan,329,2.5686526e-07,0.0,8.317751,0.00067412166,4.770096e-10,nan,4,512,13.842286860570312,4096
nan,nan,307,2.5357508e-07,0.0,8.31775,-2.2942359e-05,1.0476761e-10,nan,5,640,17.168845433741808,5120
nan,nan,339,1.4750943e-07,0.0,8.317749,-1.3032786e-07,1.2340722e-11,nan,6,768,20.18283729068935,6144
nan,nan,369,7.240811e-07,0.0,8.317749,-1.8706542e-06,1.1824115e-11,nan,7,896,22.953680506907403,7168
nan,nan,324,1.4830493e-06,0.0,8.317745,-1.8860937e-06,2.8795378e-11,nan,8,1024,26.10529246367514,8192
nan,nan,299,5.6189356e-07,0.0,8.317734,2.7200658e-06,3.864585e-12,nan,9,1152,29.52583261951804,9216
nan,nan,310,2.2846511e-07,0.0,8.317725,-3.487546e-07,1.3076716e-11,nan,10,1280,32.82744405698031,10240
nan,nan,323,3.267878e-06,0.0,8.317719,-8.940244e-06,1.0732374e-09,nan,11,1408,35.99713257141411,11264
nan,nan,363,4.843798e-06,0.0,8.317683,-0.0009775143,2.709339e-09,nan,12,1536,38.814165910705924,12288
nan,nan,334,6.4993683e-06,0.0,8.317626,-2.4170316e-05,7.371579e-09,nan,13,1664,41.87169555108994,13312
nan,nan,312,3.1041272e-05,0.0,8.317497,0.00033251583,2.462186e-08,nan,14,1792,45.145477254875004,14336
nan,nan,327,5.5326942e-05,0.0,8.317098,-0.010643749,2.1220044e-08,nan,15,1920,48.27603402547538,15360
nan,nan,325,0.00010093119,0.0,8.317003,-8.22756e-05,1.5987553e-07,nan,16,2048,51.42195965908468,16384
nan,nan,325,0.00014559504,0.00048828125,8.317097,0.008795841,2.3069022e-07,nan,17,2176,54.564527947455645,17408
nan,nan,338,0.0010779322,0.048583984,8.312605,-0.00014151497,5.092155e-08,nan,18,2304,57.590102151967585,18432
nan,nan,331,0.0011550831,0.06298828,8.309192,-0.0008505023,7.323678e-08,nan,19,2432,60.678735555149615,19456
nan,nan,344,0.00011803638,0.0,8.310191,-0.005424201,4.2261703e-08,nan,20,2560,63.65403685066849,20480
nan,nan,330,0.0013615778,0.07055664,8.302298,-0.00136247,2.1983959e-07,nan,21,2688,66.75365316681564,21504
nan,nan,328,0.00036060624,0.0024414062,8.305112,0.0003546222,1.3882826e-07,nan,22,2816,69.87142352201045,22528
nan,nan,284,0.000941555,0.041503906,8.3118925,0.000425635,1.3131555e-07,nan,23,2944,73.47177934180945,23552
nan,nan,369,0.00041030932,0.0007324219,8.311181,-1.7940234e-05,4.8996647e-08,nan,24,3072,76.24425335694104,24576
nan,nan,336,0.0006836588,0.029296875,8.305054,-0.00016861646,5.3560353e-08,nan,25,3200,79.2907171137631,25600
nan,nan,315,0.000557718,0.014404297,8.301727,-0.0002357559,2.4621883e-07,nan,26,3328,82.5408625304699,26624
nan,nan,308,0.0013581599,0.07128906,8.29489,-0.0006743346,2.1980827e-07,nan,27,3456,85.8621372403577,27648
nan,nan,311,0.00045592696,0.009521484,8.293273,-0.00022820829,8.927311e-09,nan,28,3584,89.15463827643543,28672
nan,nan,371,0.0011252309,0.05883789,8.29397,-0.0003582834,1.1116025e-07,nan,29,3712,91.90988239645958,29696
nan,nan,305,0.00089133275,0.043945312,8.295501,-4.7376496e-05,3.418403e-08,nan,30,3840,95.26302570290864,30720
nan,nan,340,0.00021689077,0.00048828125,8.303826,-3.0403404e-05,4.3187313e-08,nan,31,3968,98.27048730291426,31744
nan,nan,323,0.0010720255,0.057128906,8.303048,-0.0010826136,1.0465557e-07,nan,32,4096,101.43243623059243,32768
nan,nan,334,0.00046472947,0.005126953,8.307298,-0.0098493025,1.2715792e-07,nan,33,4224,104.49671793542802,33792
nan,nan,319,0.00033725795,0.0029296875,8.312283,-0.00012937745,3.1147525e-08,nan,34,4352,107.69948223978281,34816
nan,nan,352,0.00016295955,0.0,8.315702,-8.789669e-05,3.8253907e-09,nan,35,4480,110.60524857137352,35840
nan,nan,327,3.725001e-05,0.0,8.316853,0.0027077082,3.551368e-09,nan,36,4608,113.73365245386958,36864
nan,nan,322,6.599232e-06,0.0,8.317163,0.00014899405,3.4127572e-09,nan,37,4736,116.90699068270624,37888
nan,nan,349,6.0395105e-06,0.0,8.317313,-1.2940087e-05,8.7760155e-09,nan,38,4864,119.83735321555287,38912
nan,nan,380,1.3910818e-06,0.0,8.317417,-4.37616e-05,7.999986e-10,nan,39,4992,122.53008553851396,39936
nan,nan,362,1.637009e-07,0.0,8.317448,-4.5067973e-05,3.784959e-10,nan,40,5120,125.35745034832507,40960
nan,nan,363,9.167168e-08,0.0,8.317458,-2.2932363e-05,5.9714506e-10,nan,41,5248,128.17717386689037,41984
nan,nan,357,8.789518e-08,0.0,8.317447,0.0,2.2693351e-10,nan,42,5376,131.04020609427243,43008
nan,nan,342,4.9301633e-08,0.0,8.317455,-4.4028684e-07,3.146841e-11,nan,43,5504,134.03428284544498,44032
nan,nan,324,3.2206196e-07,0.0,8.317472,-2.501849e-06,5.856752e-10,nan,44,5632,137.19404988083988,45056
nan,nan,326,4.943852e-07,0.0,8.317488,1.7179393e-05,7.005431e-09,nan,45,5760,140.33077557664365,46080
nan,nan,330,2.6611568e-07,0.0,8.317474,0.0,1.8710087e-09,nan,46,5888,143.43250139057636,47104
nan,nan,329,5.5706884e-08,0.0,8.317474,-4.979538e-07,4.8055027e-10,nan,47,6016,146.5416229283437,48128
nan,nan,311,6.41703e-08,0.0,8.317476,-3.177538e-07,2.36685e-10,nan,48,6144,149.829316617921,49152
nan,nan,315,2.829027e-08,0.0,8.317476,0.0,2.824689e-11,nan,49,6272,153.08026483189315,50176
nan,nan,339,8.8397165e-08,0.0,8.317488,-8.449679e-07,1.7236607e-09,nan,50,6400,156.1001122146845,51200
nan,nan,328,3.6124996e-07,0.0,8.317479,8.540557e-05,1.8314145e-09,nan,51,6528,159.2162899710238,52224
nan,nan,349,2.3439814e-07,0.0,8.317448,-6.071741e-08,3.9594358e-10,nan,52,6656,162.14692774694413,53248
nan,nan,326,2.5676331e-07,0.0,8.317442,-2.9822404e-06,2.5227882e-09,nan,53,6784,165.28277854807675,54272
nan,nan,316,3.129979e-07,0.0,8.3174305,-4.5425037e-05,2.757605e-10,nan,54,6912,168.51535777375102,55296
nan,nan,337,4.3871914e-08,0.0,8.317418,0.0,1.6625974e-10,nan,55,7040,171.5527733154595,56320
nan,nan,339,5.5576623e-07,0.0,8.317415,-4.90206e-06,4.6657247e-09,nan,56,7168,174.56980390381068,57344
nan,nan,331,1.6536595e-06,0.0,8.317428,7.915411e-05,1.8516754e-08,nan,57,7296,177.66128505486995,58368
nan,nan,379,9.169378e-07,0.0,8.317492,8.85204e-05,7.759654e-09,nan,58,7424,180.35685124062002,59392
nan,nan,356,2.2160525e-07,0.0,8.317505,-8.956978e-05,2.4516391e-09,nan,59,7552,183.23332808353007,60416
nan,nan,330,1.5489664e-07,0.0,8.317523,0.0,8.1827617e-10,nan,60,7680,186.33480298891664,61440
nan,nan,318,1.202938e-07,0.0,8.3175335,-5.5698e-07,6.1164327e-09,nan,61,7808,189.55436913203448,62464
nan,nan,335,8.215054e-08,0.0,8.317535,0.0,1.5317079e-09,nan,62,7936,192.60384954791516,63488
nan,nan,343,4.908959e-07,0.0,8.317545,-3.780624e-06,2.1126048e-09,nan,63,8064,195.58732012007385,64512
nan,nan,327,3.947904e-07,0.0,8.317565,-4.1221938e-07,1.5382511e-09,nan,64,8192,198.7144317785278,65536
nan,nan,329,2.950583e-07,0.0,8.31756,8.7568726e-05,2.6869216e-09,nan,65,8320,201.81965655460954,66560
nan,nan,334,6.836146e-07,0.0,8.317569,-4.6727946e-05,2.0328157e-09,nan,66,8448,204.88523557130247,67584
nan,nan,319,1.0418202e-06,0.0,8.317581,8.389515e-05,5.596713e-09,nan,67,8576,208.0871997559443,68608
nan,nan,327,1.389425e-06,0.0,8.317591,-6.5789245e-06,1.5351775e-08,nan,68,8704,211.21542508900166,69632
nan,nan,331,1.305664e-06,0.0,8.317612,0.0,8.670037e-09,nan,69,8832,214.30933601409197,70656
nan,nan,317,1.3828758e-06,0.0,8.317624,-7.658524e-06,3.0736693e-08,nan,70,8960,217.53504705708474,71680
nan,nan,324,2.2448087e-06,0.0,8.317616,-5.7715206e-06,6.7388397e-09,nan,71,9088,220.6883767787367,72704
nan,nan,343,1.4392767e-06,0.0,8.317613,8.377106e-05,1.0293735e-08,nan,72,9216,223.6719148149714,73728
nan,nan,326,2.8429827e-06,0.0,8.317609,-2.1566746e-05,2.7028788e-08,nan,73,9344,226.80469799879938,74752
nan,nan,342,5.1523243e-06,0.0,8.317574,0.0,1.26125625e-08,nan,74,9472,229.79227149114013,75776
nan,nan,341,4.25457e-06,0.0,8.31755,-1.499457e-05,3.2664502e-08,nan,75,9600,232.7938953395933,76800
nan,nan,368,3.2117905e-06,0.0,8.317526,-3.8709077e-06,7.969172e-09,nan,76,9728,235.57263287063688,77824
nan,nan,373,5.1672504e-07,0.0,8.317585,-0.00017134458,2.5360378e-09,nan,77,9856,238.31270610634238,78848
nan,nan,322,8.455537e-07,0.0,8.317563,0.0,5.333473e-11,nan,78,9984,241.48918700870126,79872
nan,nan,357,4.93874e-06,0.0,8.317513,-1.083684e-05,3.860301e-09,nan,79,10112,244.357917255722,80896
nan,nan,375,9.070542e-06,0.0,8.31736,-3.321253e-05,1.2240978e-08,nan,80,10240,247.0874693710357,81920
nan,nan,341,6.9152593e-06,0.0,8.317293,-1.6850841e-05,2.6549353e-08,nan,81,10368,250.08226889371872,82944
nan,nan,340,9.3920025e-06,0.0,8.31744,-9.633829e-05,8.57757e-09,nan,82,10496,253.0945877507329,83968
nan,nan,348,2.21359e-06,0.0,8.317501,-8.70666e-05,6.1119376e-09,nan,83,10624,256.0298507651314,84992
nan,nan,358,1.7301526e-06,0.0,8.317505,-9.227413e-05,4.504681e-09,nan,84,10752,258.8841301323846,86016
nan,nan,327,4.9221046e-07,0.0,8.317535,5.232232e-08,1.0532825e-09,nan,85,10880,262.0120199630037,87040
nan,nan,351,9.8125e-08,0.0,8.3175335,-4.368303e-07,1.0618492e-09,nan,86,11008,264.92282819282264,88064
nan,nan,323,2.7328538e-06,0.0,8.317511,-1.6531223e-05,1.6385582e-09,nan,87,11136,268.08569664601237,89088
nan,nan,334,3.0294568e-06,0.0,8.317432,0.0,4.417138e-09,nan,88,11264,271.14856034796685,90112
nan,nan,344,6.379911e-08,0.0,8.317411,0.0,6.1546956e-10,nan,89,11392,274.12195684667677,91136
nan,nan,348,4.4671047e-08,0.0,8.317415,0.0,1.2731291e-10,nan,90,11520,277.0609185891226,92160
nan,nan,329,5.6980156e-08,0.0,8.317431,0.0,5.7054795e-11,nan,91,11648,280.17286340054125,93184
nan,nan,328,4.7037965e-06,0.0,8.317458,-1.7989667e-05,7.378781e-09,nan,92,11776,283.2894370146096,94208
nan,nan,323,4.088487e-06,0.0,8.317456,0.00034684566,1.9169859e-08,nan,93,11904,286.4591840002686,95232
nan,nan,311,4.095017e-06,0.0,8.317364,-6.932303e-06,2.6876886e-08,nan,94,12032,289.7427612375468,96256
nan,nan,325,4.1888557e-06,0.0,8.317341,-0.00018269906,1.6579797e-08,nan,95,12160,292.8868061155081,97280
nan,nan,346,2.4285173e-06,0.0,8.317444,0.0,6.1116143e-09,nan,96,12288,295.84473061654717,98304
nan,nan,330,1.299856e-07,0.0,8.317475,0.0,1.7645349e-09,nan,97,12416,298.9411495234817,99328
nan,nan,349,8.378217e-07,0.0,8.317478,-5.322041e-06,1.8141081e-09,nan,98,12544,301.86977016273886,100352
nan,nan,368,1.844279e-06,0.0,8.317448,-4.205409e-06,4.3068225e-09,nan,99,12672,304.64628141280264,101376
nan,nan,327,8.433654e-06,0.0,8.317373,2.1396289e-05,1.7698998e-08,nan,100,12800,307.7763731237501,102400
nan,nan,337,8.662522e-06,0.0,8.317174,-1.0281685e-05,6.3633494e-09,nan,101,12928,310.8094696449116,103424
nan,nan,373,1.9398112e-05,0.0,8.317143,-3.6661997e-05,4.2483293e-08,nan,102,13056,313.54843692295253,104448
nan,nan,320,1.50477545e-05,0.0,8.3169,0.00032377872,2.8674572e-08,nan,103,13184,316.7457047663629,105472
nan,nan,364,4.36439e-05,0.0,8.316721,-0.00014839481,1.8570239e-08,nan,104,13312,319.55479228310287,106496
nan,nan,308,8.0753576e-05,0.0,8.315908,0.0,5.6891086e-08,nan,105,13440,322.87618733756244,107520
nan,nan,336,1.5483187e-06,0.0,8.315623,0.0,1.2802614e-08,nan,106,13568,325.9221556317061,108544
nan,nan,323,3.5690857e-05,0.0,8.315416,-5.7006953e-05,7.423353e-08,nan,107,13696,329.0896435379982,109568
nan,nan,353,7.357068e-05,0.0,8.314254,-6.130377e-05,1.0610188e-07,nan,108,13824,331.98422956839204,110592
nan,nan,341,2.7181322e-05,0.0,8.314217,0.0005200623,3.6917953e-08,nan,109,13952,334.98267290741205,111616
nan,nan,330,4.0488067e-05,0.0,8.31517,-2.5027497e-05,7.58929e-09,nan,110,14080,338.0797462128103,112640
